,Time,Day_of_week,Age_band_of_driver,Driving_experience,Type_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Accident_severity,Hour,TimeLine
1290,1900-01-01 10:08:00,Sunday,31-50,2-5yr,Lorry (41?100Q),Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Unknown,Not a Pedestrian,Driving carelessly,Slight Injury,10,Morning
1291,1900-01-01 10:12:00,Saturday,18-30,2-5yr,Automobile,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No distancing,Slight Injury,10,Morning
1292,1900-01-01 10:12:00,Saturday,31-50,Above 10yr,Public (12 seats),Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Not a Pedestrian,Moving Backward,Slight Injury,10,Morning
1293,1900-01-01 17:16:00,Friday,18-30,Below 1yr,Automobile,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No distancing,Slight Injury,17,Evening
1294,1900-01-01 17:16:00,Friday,31-50,2-5yr,Stationwagen,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Going straight,Not a Pedestrian,Moving Backward,Slight Injury,17,Evening
1295,1900-01-01 19:25:00,Friday,Over 51,Above 10yr,Automobile,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,1,1,Moving Backward,Not a Pedestrian,No priority to pedestrian,Serious Injury,19,Evening
1296,1900-01-01 15:00:00,Thursday,18-30,Above 10yr,Lorry (41?100Q),Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury,15,Afternoon
1297,1900-01-01 15:00:00,Thursday,31-50,5-10yr,Other,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Turnover,Not a Pedestrian,No distancing,Slight Injury,15,Afternoon
1298,1900-01-01 15:00:00,Thursday,Unknown,Above 10yr,Pick up upto 10Q,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Not a Pedestrian,Other,Slight Injury,15,Afternoon
1299,1900-01-01 17:40:00,Wednesday,31-50,1-2yr,Automobile, Industrial areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No distancing,Slight Injury,17,Evening
1300,1900-01-01 17:40:00,Wednesday,31-50,2-5yr,Lorry (41?100Q), Industrial areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Unknown,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No priority to pedestrian,Slight Injury,17,Evening
1301,1900-01-01 11:44:00,Sunday,18-30,2-5yr,Automobile, Church areas,Double carriageway (median),Tangent road with flat terrain,O Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Moving Backward,Slight Injury,11,Morning
1302,1900-01-01 11:44:00,Sunday,31-50,5-10yr,Public (13?45 seats),Other,Undivided Two way,Tangent road with flat terrain,O Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No priority to pedestrian,Slight Injury,11,Morning
1303,1900-01-01 14:20:00,Sunday,18-30,5-10yr,Automobile,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No distancing,Slight Injury,14,Afternoon
1304,1900-01-01 14:20:00,Sunday,31-50,5-10yr,Lorry (41?100Q),Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No priority to pedestrian,Slight Injury,14,Afternoon
1305,1900-01-01 15:20:00,Saturday,Over 51,Above 10yr,Public (12 seats),Office areas,Undivided Two way,Tangent road with flat terrain,Unknown,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,1,2,Reversing,Not a Pedestrian,Driving carelessly,Slight Injury,15,Afternoon
1306,1900-01-01 15:20:00,Saturday,Over 51,Below 1yr,Motorcycle,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Asphalt roads,Wet or damp,Daylight,Normal,Collision with roadside objects,1,2,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Getting off the vehicle improperly,Slight Injury,15,Afternoon
1307,1900-01-01 16:22:00,Friday,18-30,Below 1yr,Public (12 seats), Industrial areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,4,3,Moving Backward,Not a Pedestrian,Driving carelessly,Slight Injury,16,Evening
1308,1900-01-01 16:22:00,Friday,31-50,Above 10yr,Lorry (41?100Q),Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,4,3,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury,16,Evening
1309,1900-01-01 16:22:00,Friday,Over 51,5-10yr,Automobile,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,4,3,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury,16,Evening
1310,1900-01-01 16:22:00,Friday,31-50,5-10yr,Lorry (41?100Q),Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,4,3,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury,16,Evening
1311,1900-01-01 11:40:00,Sunday,31-50,2-5yr,Stationwagen,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury,11,Morning
1312,1900-01-01 11:40:00,Sunday,Over 51,2-5yr,Pick up upto 10Q,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No distancing,Slight Injury,11,Morning
1313,1900-01-01 17:30:00,Thursday,31-50,5-10yr,Automobile,Residential areas,other,Tangent road with flat terrain,Y Shape,Earth roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,1,1,Turnover,Not a Pedestrian,No distancing,Slight Injury,17,Evening
1314,1900-01-01 08:04:00,Thursday,Over 51,2-5yr,Automobile,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the left,Serious Injury,8,Morning
1315,1900-01-01 08:04:00,Thursday,Over 51,5-10yr,Automobile, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,Changing lane to the right,Serious Injury,8,Morning
1316,1900-01-01 08:04:00,Thursday,18-30,2-5yr,Other,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2,Moving Backward,Not a Pedestrian,No priority to vehicle,Serious Injury,8,Morning
1317,1900-01-01 17:00:00,Tuesday,Unknown,5-10yr,Automobile,School areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury,17,Evening
1318,1900-01-01 17:00:00,Tuesday,31-50,2-5yr,Public (13?45 seats), Hospital areas,other,Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury,17,Evening
1319,1900-01-01 17:01:00,Wednesday,31-50,1-2yr,Public (13?45 seats),Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - no lighting,Normal,Vehicle with vehicle collision,3,1,Going straight,Not a Pedestrian,Moving Backward,Slight Injury,17,Evening
1320,1900-01-01 17:01:00,Wednesday,31-50,5-10yr,Automobile,School areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - no lighting,Normal,Vehicle with vehicle collision,3,1,Other,Not a Pedestrian,Turnover,Slight Injury,17,Evening
1321,1900-01-01 17:01:00,Wednesday,18-30,1-2yr,Public (12 seats),Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - no lighting,Normal,Vehicle with vehicle collision,3,1,Going straight,Not a Pedestrian,No distancing,Slight Injury,17,Evening
1322,1900-01-01 05:40:00,Tuesday,Over 51,2-5yr,Public (12 seats), Industrial areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No distancing,Slight Injury,5,Morning
1323,1900-01-01 05:40:00,Tuesday,18-30,1-2yr,Lorry (41?100Q), Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Turnover,Not a Pedestrian,No distancing,Slight Injury,5,Morning
1324,1900-01-01 20:37:00,Monday,18-30,Above 10yr,Automobile,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Earth roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Not a Pedestrian,Changing lane to the left,Slight Injury,20,Night
1325,1900-01-01 20:37:00,Monday,18-30,2-5yr,Pick up upto 10Q,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury,20,Night
1326,1900-01-01 20:43:00,Tuesday,18-30,2-5yr,Pick up upto 10Q,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Not a Pedestrian,Driving at high speed,Serious Injury,20,Night
1327,1900-01-01 16:50:00,Tuesday,31-50,2-5yr,Lorry (41?100Q),Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,1,1,Going straight,Not a Pedestrian,Overtaking,Slight Injury,16,Evening
1328,1900-01-01 09:24:00,Monday,Over 51,2-5yr,Automobile,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,Not a Pedestrian,Other,Slight Injury,9,Morning
1329,1900-01-01 09:24:00,Monday,18-30,2-5yr,Stationwagen,Residential areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury,9,Morning
1330,1900-01-01 20:22:00,Friday,Over 51,2-5yr,Motorcycle,Office areas,Double carriageway (median),Tangent road with flat terrain,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Going straight,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing) - masked by parked or statioNot a Pedestrianry vehicle",No priority to pedestrian,Slight Injury,20,Night
1331,1900-01-01 20:22:00,Friday,18-30,5-10yr,Automobile,Other,Undivided Two way,Tangent road with flat terrain,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury,20,Night
1332,1900-01-01 15:10:00,Tuesday,18-30,2-5yr,Other, Industrial areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Parked,Not a Pedestrian,No distancing,Serious Injury,15,Afternoon
1333,1900-01-01 15:10:00,Tuesday,Over 51,Above 10yr,Automobile,Other,One way,Tangent road with flat terrain,No junction,Gravel roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Moving Backward,Serious Injury,15,Afternoon
1334,1900-01-01 16:35:00,Wednesday,18-30,Above 10yr,Automobile,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,2,Going straight,Crossing from driver's nearside,Changing lane to the left,Slight Injury,16,Evening
1335,1900-01-01 16:35:00,Wednesday,18-30,Above 10yr,Automobile,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,3,2,Unknown,Crossing from driver's nearside,Other,Slight Injury,16,Evening
1336,1900-01-01 16:35:00,Wednesday,18-30,5-10yr,Public (> 45 seats),Other,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,2,Going straight,Not a Pedestrian,No distancing,Slight Injury,16,Evening
1337,1900-01-01 16:35:00,Wednesday,18-30,2-5yr,Automobile,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,2,Going straight,Not a Pedestrian,Moving Backward,Slight Injury,16,Evening
1338,1900-01-01 15:36:00,Tuesday,31-50,1-2yr,Other,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Other,Vehicle with vehicle collision,1,1,Stopping,Not a Pedestrian,No distancing,Slight Injury,15,Afternoon
1339,1900-01-01 15:19:00,Wednesday,18-30,2-5yr,Automobile,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury,15,Afternoon
1340,1900-01-01 22:40:00,Thursday,Over 51,5-10yr,Other,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Overtaking,Not a Pedestrian,Changing lane to the left,Slight Injury,22,Night
1341,1900-01-01 22:40:00,Thursday,Under 18,5-10yr,Lorry (41?100Q),Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No priority to pedestrian,Slight Injury,22,Night
1342,1900-01-01 18:50:00,Thursday,Over 51,5-10yr,Pick up upto 10Q,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,4,3,Reversing,Not a Pedestrian,Changing lane to the left,Slight Injury,18,Evening
1343,1900-01-01 18:50:00,Thursday,31-50,Above 10yr,Public (13?45 seats),  Recreational areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,4,3,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury,18,Evening
1344,1900-01-01 18:50:00,Thursday,31-50,Above 10yr,Automobile, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,4,3,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury,18,Evening
1345,1900-01-01 18:50:00,Thursday,31-50,1-2yr,Pick up upto 10Q,  Recreational areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,4,3,Unknown,Not a Pedestrian,No priority to pedestrian,Slight Injury,18,Evening
1346,1900-01-01 18:50:00,Thursday,Unknown,5-10yr,Automobile,School areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,4,3,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Getting off the vehicle improperly,Slight Injury,18,Evening
1347,1900-01-01 18:50:00,Thursday,Unknown,2-5yr,Lorry (41?100Q), Church areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,4,3,Moving Backward,Not a Pedestrian,No distancing,Slight Injury,18,Evening
1348,1900-01-01 17:05:00,Tuesday,Over 51,5-10yr,Automobile,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,1,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury,17,Evening
1349,1900-01-01 17:05:00,Tuesday,31-50,2-5yr,Lorry (41?100Q),Residential areas,One way,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,1,Moving Backward,Not a Pedestrian,No priority to vehicle,Slight Injury,17,Evening
1350,1900-01-01 17:05:00,Tuesday,31-50,Above 10yr,Lorry (41?100Q),Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,1,Going straight,Not a Pedestrian,No distancing,Slight Injury,17,Evening
1351,1900-01-01 11:00:00,Monday,31-50,5-10yr,Lorry (41?100Q),Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Not a Pedestrian,No priority to pedestrian,Slight Injury,11,Morning
1352,1900-01-01 17:50:00,Tuesday,Over 51,5-10yr,Public (13?45 seats), Industrial areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Unknown,Not a Pedestrian,No priority to pedestrian,Serious Injury,17,Evening
1353,1900-01-01 23:00:00,Tuesday,Over 51,1-2yr,Automobile, Church areas,other,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,1,1,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury,23,Night
1354,1900-01-01 18:20:00,Tuesday,18-30,Above 10yr,Other,Office areas,other,Tangent road with flat terrain,No junction,Earth roads,Wet or damp,Darkness - lights lit,Windy,Vehicle with vehicle collision,3,1,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury,18,Evening
1355,1900-01-01 18:20:00,Tuesday,31-50,5-10yr,Other,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Windy,Vehicle with vehicle collision,3,1,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury,18,Evening
1356,1900-01-01 18:20:00,Tuesday,18-30,2-5yr,Other,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Windy,Vehicle with vehicle collision,3,1,Turnover,Not a Pedestrian,Changing lane to the left,Slight Injury,18,Evening
1357,1900-01-01 19:05:00,Saturday,31-50,2-5yr,Automobile,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Unknown,Collision with roadside objects,2,1,Going straight,Not a Pedestrian,Moving Backward,Slight Injury,19,Evening
1358,1900-01-01 19:05:00,Saturday,18-30,5-10yr,Other,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Unknown,Collision with roadside objects,2,1,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury,19,Evening
1359,1900-01-01 11:05:00,Sunday,18-30,1-2yr,Lorry (41?100Q),Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Not a Pedestrian,Driving to the left,Slight Injury,11,Morning
1360,1900-01-01 11:05:00,Sunday,Under 18,5-10yr,Public (12 seats), Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Reversing,Not a Pedestrian,Driving to the left,Slight Injury,11,Morning
1361,1900-01-01 18:15:00,Sunday,31-50,5-10yr,Lorry (41?100Q),Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Getting off,Not a Pedestrian,No priority to pedestrian,Serious Injury,18,Evening
1362,1900-01-01 08:05:00,Friday,18-30,5-10yr,Public (12 seats),Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,O Shape,Gravel roads,Dry,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury,8,Morning
1363,1900-01-01 08:05:00,Friday,18-30,Above 10yr,Lorry (41?100Q),Other,One way,Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Darkness - lights lit,Cloudy,Collision with pedestrians,2,1,Getting off,Not a Pedestrian,Changing lane to the right,Slight Injury,8,Morning
1364,1900-01-01 19:47:00,Thursday,Unknown,2-5yr,Other,Other,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury,19,Evening
1365,1900-01-01 19:47:00,Thursday,31-50,5-10yr,Lorry (41?100Q),Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No distancing,Slight Injury,19,Evening
1366,1900-01-01 18:30:00,Tuesday,Over 51,5-10yr,Automobile,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Other,Dry,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,1,1,Going straight,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury,18,Evening
1367,1900-01-01 18:09:00,Monday,31-50,5-10yr,Public (> 45 seats),Residential areas,other,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,18,Evening
1368,1900-01-01 18:09:00,Monday,18-30,5-10yr,Lorry (41?100Q),Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury,18,Evening
1369,1900-01-01 17:36:00,Sunday,18-30,5-10yr,Other,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury,17,Evening
1370,1900-01-01 19:35:00,Friday,18-30,1-2yr,Other,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,2,2,Going straight,Not a Pedestrian,Moving Backward,Slight Injury,19,Evening
1371,1900-01-01 19:35:00,Friday,31-50,5-10yr,Automobile,Other,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,2,2,Going straight,Not a Pedestrian,Turnover,Slight Injury,19,Evening
1372,1900-01-01 10:42:00,Monday,Over 51,2-5yr,Lorry (41?100Q),Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the right,Serious Injury,10,Morning
1373,1900-01-01 10:42:00,Monday,31-50,5-10yr,Pick up upto 10Q,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Not a Pedestrian,Driving carelessly,Serious Injury,10,Morning
1374,1900-01-01 08:05:00,Tuesday,18-30,2-5yr,Automobile,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury,8,Morning
1375,1900-01-01 15:35:00,Thursday,18-30,Above 10yr,Automobile,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Moving Backward,Serious Injury,15,Afternoon
1376,1900-01-01 15:35:00,Thursday,18-30,Below 1yr,Other,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the left,Serious Injury,15,Afternoon
1377,1900-01-01 09:10:00,Saturday,31-50,Below 1yr,Automobile,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,Overturning,Slight Injury,9,Morning
1378,1900-01-01 09:10:00,Saturday,Over 51,5-10yr,Stationwagen,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,No distancing,Slight Injury,9,Morning
1379,1900-01-01 17:10:00,Wednesday,Over 51,2-5yr,Other,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - no lighting,Raining,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury,17,Evening
1380,1900-01-01 17:10:00,Wednesday,31-50,5-10yr,Automobile,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - no lighting,Raining,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No distancing,Slight Injury,17,Evening
1381,1900-01-01 16:35:00,Monday,31-50,No Licence,Ridden horse,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury,16,Evening
